;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTGS;ATGS;HTGC;ATGC;HomeTeamLP;AwayTeamLP;B365H;B365D;B365A;IWH;IWD;IWA;LBH;LBD;LBA;WHH;WHD;WHA
0;17/08/2002;Blackburn;Sunderland;0;0;D;0;0;0;0;10;17;1.727;3.25;4.333;1.8;3.1;3.8;1.615;3.25;5;1.66;3.3;4.5
1;17/08/2002;Charlton;Chelsea;2;3;A;0;0;0;0;14;6;2.8;3.25;2.2;2.9;3;2.2;2.8;3.2;2.2;2.75;3.1;2.3
2;17/08/2002;Everton;Tottenham;2;2;D;0;0;0;0;15;9;2.25;3.25;2.75;2.3;3;2.7;2.25;3.2;2.75;2.3;3.1;2.75
3;17/08/2002;Fulham;Bolton;4;1;H;0;0;0;0;13;16;1.727;3.25;4.333;1.8;3.1;3.8;1.833;3.2;3.75;1.72;3.2;4.33
4;17/08/2002;Leeds;Man City;3;0;H;0;0;0;0;5;18;1.667;3.4;4.5;1.7;3.2;4.2;1.615;3.5;4.5;1.66;3.3;4.5
5;17/08/2002;Man United;West Brom;1;0;H;0;0;0;0;3;18;1.2;5;12;1.2;5;10;1.2;5;11;1.2;5;11
6;18/08/2002;Arsenal;Birmingham;2;0;H;0;0;0;0;1;18;1.222;5;10;1.25;4.5;9;1.25;4.5;10;1.22;5;9.5
7;18/08/2002;Aston Villa;Liverpool;0;1;A;0;0;0;0;8;2;3;3.25;2.1;2.9;3;2.2;3;3.2;2.1;3.2;3;2.1
8;19/08/2002;Newcastle;West Ham;4;0;H;0;0;0;0;4;7;1.571;3.4;5.5;1.65;3.3;4.4;1.615;3.5;4.5;1.57;3.5;5
9;23/08/2002;Chelsea;Man United;2;2;D;3;1;2;0;6;3;2.75;3.25;2.25;2.5;3;2.5;2.75;3.2;2.25;2.7;3;2.37
10;24/08/2002;Birmingham;Blackburn;0;1;A;0;0;2;0;18;10;2.625;3.2;2.375;2.6;3;2.4;2.4;3.25;2.5;2.5;3.1;2.5
11;24/08/2002;Bolton;Charlton;1;2;A;1;2;4;3;16;14;2.1;3.25;3;2.2;3;2.9;2.2;3.25;2.75;2.1;3.1;3.1
12;24/08/2002;Liverpool;Southampton;3;0;H;1;0;0;0;2;11;1.333;4.333;7.5;1.3;4.2;8;1.364;3.75;8;1.28;4.33;8.5
13;24/08/2002;Man City;Newcastle;1;0;H;0;4;3;0;18;4;2.5;3.2;2.5;2.7;3;2.3;2.75;3.25;2.2;2.62;3.25;2.3
14;24/08/2002;Sunderland;Everton;0;1;A;0;2;0;2;17;15;2.1;3;3.25;2;3.1;3.2;2.1;3.2;3;2.1;3.1;3.1
15;24/08/2002;Tottenham;Aston Villa;1;0;H;2;0;2;1;9;8;1.833;3.25;3.75;1.9;3.1;3.5;1.909;3.2;3.5;1.8;3.1;4
